"filename", "language", "TypeScript React", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "YAML", "comment", "blank", "total"
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxInsidePage/index.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxMainPage/Description.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharBoxMainPage/index.tsx", "TypeScript React", 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 123
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeAffix.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 4, 5, 82
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharBoxList.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 0, 1, 5, 49
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharList.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/CharListItem.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/components/CharExchangeBox/index.tsx", "TypeScript React", 187, 0, 0, 0, 0, 0, 0, 0, 1, 11, 199
"/Users/heggria/github/Ark-survey-frontend/src/pages/char-box/index.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/heggria/github/Ark-survey-frontend/src/pages/demo/index.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/Users/heggria/github/Ark-survey-frontend/src/pages/index.tsx", "TypeScript React", 142, 0, 0, 0, 0, 0, 0, 0, 1, 8, 151
"/Users/heggria/github/Ark-survey-frontend/src/pages/route.tsx", "TypeScript React", 115, 0, 0, 0, 0, 0, 0, 0, 0, 4, 119
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/LangSelect.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/MiniSwitch.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/NameDisplaySwitch.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/index.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/CharStatisticBox/index.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsInsidePage/index.tsx", "TypeScript React", 239, 0, 0, 0, 0, 0, 0, 0, 3, 10, 252
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsMainPage/Description.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsMainPage/index.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/index.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/heggria/github/Ark-survey-frontend/src/registrationStatus.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 0, 3, 16, 87
"/Users/heggria/github/Ark-survey-frontend/src/reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/service-worker.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 35, 15, 127
"/Users/heggria/github/Ark-survey-frontend/src/service/AnnouncementServer.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/service/CharBoxServer.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 12, 7, 60
"/Users/heggria/github/Ark-survey-frontend/src/service/CharSkinBoxServer.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/Users/heggria/github/Ark-survey-frontend/src/service/MetaDataServer..tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/heggria/github/Ark-survey-frontend/src/service/TierListServer.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/heggria/github/Ark-survey-frontend/src/service/TierListStatisticServer.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"/Users/heggria/github/Ark-survey-frontend/src/service/UserServer.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/heggria/github/Ark-survey-frontend/src/serviceWorkerRegistration.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 0, 31, 12, 139
"/Users/heggria/github/Ark-survey-frontend/src/store/index.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 2, 9, 43
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/TierListSlice.tsx", "TypeScript React", 83, 0, 0, 0, 0, 0, 0, 0, 1, 8, 92
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/TierListStatisticsSlice.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/charBoxSlice.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 32, 6, 96
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/characterSlice.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/settingSlice.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/userSlice.tsx", "TypeScript React", 90, 0, 0, 0, 0, 0, 0, 0, 0, 8, 98
"/Users/heggria/github/Ark-survey-frontend/src/theme/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/heggria/github/Ark-survey-frontend/src/utils/ApiUtils.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/heggria/github/Ark-survey-frontend/src/utils/CaptureUtils.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/heggria/github/Ark-survey-frontend/src/utils/DownloadUtils.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/heggria/github/Ark-survey-frontend/src/utils/JSONLoadUtils.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/heggria/github/Ark-survey-frontend/src/utils/ObjectUtils.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/heggria/github/Ark-survey-frontend/src/utils/TreeUtils.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 1, 3, 46
"/Users/heggria/github/Ark-survey-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"Total", "-", 6070, 371, 250, 49, 22, 74, 36, 9248, 276, 1886, 18282
